playerId,sweaterNumber,name,position,evenStrengthShotsAgainst,powerPlayShotsAgainst,shorthandedShotsAgainst,saveShotsAgainst,savePctg,evenStrengthGoalsAgainst,powerPlayGoalsAgainst,shorthandedGoalsAgainst,pim,goalsAgainst,toi,starter,decision,shotsAgainst,saves,firstName,lastName,Team,gameId,homeRoadFlag
8477992,31,{'default': 'J. Johansson'},G,20/21,3/3,0/0,23/24,0.958333,1,0,0,0,1,57:45,True,L,24,23,Jonas,Johansson,TBL,2025020461,0
8483710,35,{'default': 'D. Hildeby'},G,28/28,1/1,0/0,29/29,1.0,0,0,0,0,0,59:42,True,W,29,29,Dennis,Hildeby,TOR,2025020461,1
8475311,35,{'default': 'D. Kuemper'},G,17/18,2/3,0/0,19/21,0.904762,1,1,0,0,2,60:00,True,W,21,19,Darcy,Kuemper,LAK,2025020462,0
8478872,70,{'default': 'K. Vejmelka'},G,23/26,0/0,0/0,23/26,0.884615,3,0,0,0,3,58:08,True,L,26,23,Karel,Vejmelka,UTA,2025020462,1
8480045,1,{'default': 'U. Luukkonen'},G,15/18,2/4,0/0,17/22,0.772727,3,2,0,0,5,40:00,True,L,22,17,Ukko-Pekka,Luukkonen,BUF,2025020463,0
8481692,32,{'default': 'D. Wolf'},G,20/22,5/7,0/0,25/29,0.862069,2,2,0,2,4,60:00,True,W,29,25,Dustin,Wolf,CGY,2025020463,1
8476434,36,{'default': 'J. Gibson'},G,34/34,5/5,0/0,39/39,1.0,0,0,0,0,0,60:00,True,W,39,39,John,Gibson,DET,2025020464,0
8480947,32,{'default': 'K. Lankinen'},G,11/14,0/0,0/0,11/14,0.785714,3,0,0,0,3,39:53,True,L,14,11,Kevin,Lankinen,VAN,2025020464,1
8479406,32,{'default': 'F. Gustavsson'},G,21/21,2/3,0/0,23/24,0.958333,0,1,0,0,1,59:59,True,W,24,23,Filip,Gustavsson,MIN,2025020465,0
8475831,31,{'default': 'P. Grubauer'},G,16/18,8/8,1/1,25/27,0.925926,2,0,0,0,2,58:42,True,L,27,25,Philipp,Grubauer,SEA,2025020465,1
8477992,31,{'default': 'J. Johansson'},G,18/18,6/7,2/2,26/27,0.962963,0,1,0,0,1,60:00,True,W,27,26,Jonas,Johansson,TBL,2025020466,0
8482487,75,{'default': 'J. Dobes'},G,10/13,0/0,1/1,11/14,0.785714,3,0,0,0,3,19:50,True,L,14,11,Jakub,Dobes,MTL,2025020466,1
8474593,25,"{'default': 'J. Markstrom', 'cs': 'J. Markström', 'fi': 'J. Markström', 'sk': 'J. Markström', 'sv': 'J. Markström'}",G,34/34,1/4,0/0,35/38,0.921053,0,3,0,0,3,59:22,True,W,38,35,Jacob,Markstrom,NJD,2025020467,0
8476999,35,{'default': 'L. Ullmark'},G,21/25,6/6,1/1,28/32,0.875,4,0,0,0,4,57:41,True,L,32,28,Linus,Ullmark,OTT,2025020467,1
8479394,79,{'default': 'C. Hart'},G,20/23,2/3,1/1,23/27,0.851852,3,1,0,0,4,63:48,True,O,27,23,Carter,Hart,VGK,2025020468,0
8478009,30,{'default': 'I. Sorokin'},G,24/28,9/9,0/0,33/37,0.891892,4,0,0,2,4,65:00,True,W,37,33,Ilya,Sorokin,NYI,2025020468,1
8477968,33,{'default': 'A. Nedeljkovic'},G,21/24,5/5,0/0,26/29,0.896552,3,0,0,0,3,58:06,True,L,29,26,Alex,Nedeljkovic,SJS,2025020469,0
8478435,80,"{'default': 'D. Vladar', 'cs': 'D. Vladař', 'sk': 'D. Vladař'}",G,14/15,2/2,1/1,17/18,0.944444,1,0,0,0,1,60:00,True,W,18,17,Dan,Vladar,PHI,2025020469,1
8478024,33,{'default': 'V. Husso'},G,37/39,7/8,0/0,44/47,0.93617,2,1,0,2,3,62:47,True,W,47,44,Ville,Husso,ANA,2025020470,0
8481668,37,"{'default': 'A. Silovs', 'cs': 'A. Šilovs', 'sk': 'A. Šilovs'}",G,22/24,2/2,2/2,26/28,0.928571,2,0,1,0,3,64:48,True,O,28,26,Arturs,Silovs,PIT,2025020470,1
8482982,73,{'default': 'J. Greaves'},G,23/25,4/5,1/1,28/31,0.903226,2,1,0,0,3,57:23,True,L,31,28,Jet,Greaves,CBJ,2025020471,0
8483548,32,{'default': 'B. Bussi'},G,21/21,2/3,0/0,23/24,0.958333,0,1,0,0,1,60:00,True,W,24,23,Brandon,Bussi,CAR,2025020471,1
8480280,1,{'default': 'J. Swayman'},G,22/23,2/3,0/0,24/26,0.923077,1,1,0,0,2,60:00,True,W,26,24,Jeremy,Swayman,BOS,2025020472,0
8480981,30,{'default': 'J. Hofer'},G,23/27,2/2,1/1,26/30,0.866667,4,0,0,0,4,58:00,True,L,30,26,Joel,Hofer,STL,2025020472,1
8479193,1,{'default': 'C. DeSmith'},G,21/24,8/8,1/1,30/33,0.909091,3,0,0,0,3,59:47,True,W,33,30,Casey,DeSmith,DAL,2025020473,0
8477480,1,{'default': 'E. Comrie'},G,12/14,2/4,1/1,15/19,0.789474,2,2,0,0,4,57:52,True,L,19,15,Eric,Comrie,WPG,2025020473,1
8481551,92,{'default': 'C. Ellis'},G,6/6,0/0,0/0,6/6,1.0,0,0,0,0,0,19:01,True,,6,6,Colten,Ellis,BUF,2025020474,0
8479973,74,{'default': 'S. Skinner'},G,15/17,9/11,0/0,24/28,0.857143,2,2,0,0,4,59:22,True,O,28,24,Stuart,Skinner,PIT,2025020474,1
8475809,41,{'default': 'S. Wedgewood'},G,25/27,3/4,0/0,28/31,0.903226,2,1,0,0,3,62:20,True,O,31,28,Scott,Wedgewood,COL,2025020475,0
8477424,74,{'default': 'J. Saros'},G,33/35,6/7,0/0,39/42,0.928571,2,1,0,0,3,64:52,True,W,42,39,Juuse,Saros,NSH,2025020475,1
8478048,31,"{'default': 'I. Shesterkin', 'cs': 'I. Šesťorkin', 'fi': 'I. Shestjorkin', 'sk': 'I. Šesťorkin'}",G,20/22,2/2,0/1,22/25,0.88,2,0,1,0,3,60:00,True,L,25,22,Igor,Shesterkin,NYR,2025020476,0
8481519,30,{'default': 'S. Knight'},G,19/19,1/1,1/1,21/21,1.0,0,0,0,0,0,59:58,True,W,21,21,Spencer,Knight,CHI,2025020476,1
